company,name_id,division,date,hours
Подрядчик1,20,Подразделение1,2023-01-01,9.4
Подрядчик1,24,Подразделение1,2023-01-01,10.6
Подрядчик1,30,Подразделение1,2023-01-01,11.1
Подрядчик1,41,Подразделение1,2023-01-01,10.0
Подрядчик1,56,Подразделение1,2023-01-01,11.0
Подрядчик1,63,Подразделение1,2023-01-01,9.7
Подрядчик1,66,Подразделение1,2023-01-01,8.9
Подрядчик1,96,Подразделение1,2023-01-01,10.8
Подрядчик1,108,Подразделение1,2023-01-01,11.6
Подрядчик1,138,Подразделение1,2023-01-01,11.6
Подрядчик1,153,Подразделение1,2023-01-01,9.1
Подрядчик1,173,Подразделение1,2023-01-01,11.0
Подрядчик3,193,Подразделение1,2023-01-01,11.4
Подрядчик3,195,Подразделение1,2023-01-01,9.7
Подрядчик3,197,Подразделение1,2023-01-01,11.3
Подрядчик3,203,Подразделение1,2023-01-01,11.2
Подрядчик3,210,Подразделение1,2023-01-01,10.7
Подрядчик3,212,Подразделение1,2023-01-01,10.3
Подрядчик3,218,Подразделение1,2023-01-01,11.6
Подрядчик3,223,Подразделение1,2023-01-01,11.3
Подрядчик3,225,Подразделение1,2023-01-01,10.3
Подрядчик3,228,Подразделение1,2023-01-01,22.7
Подрядчик3,233,Подразделение1,2023-01-01,22.0
Подрядчик3,241,Подразделение1,2023-01-01,11.1
Подрядчик3,242,Подразделение1,2023-01-01,22.8
Подрядчик3,244,Подразделение1,2023-01-01,10.0
Подрядчик3,245,Подразделение1,2023-01-01,11.1
Подрядчик3,246,Подразделение1,2023-01-01,11.2
Подрядчик3,253,Подразделение1,2023-01-01,11.6
Подрядчик3,258,Подразделение1,2023-01-01,11.0
Подрядчик3,268,Подразделение1,2023-01-01,11.4
Подрядчик3,279,Подразделение1,2023-01-01,11.3
Подрядчик4,315,Подразделение1,2023-01-01,10.7
Подрядчик4,318,Подразделение1,2023-01-01,11.0
Подрядчик4,327,Подразделение1,2023-01-01,10.1
Подрядчик4,333,Подразделение1,2023-01-01,11.6
Подрядчик4,342,Подразделение1,2023-01-01,10.4
Подрядчик4,343,Подразделение1,2023-01-01,11.4
Подрядчик4,347,Подразделение1,2023-01-01,11.5
Подрядчик4,348,Подразделение1,2023-01-01,9.5
Подрядчик4,349,Подразделение1,2023-01-01,11.8
Подрядчик4,350,Подразделение1,2023-01-01,11.0
Подрядчик3,67,Подразделение2,2023-01-01,10.5
Подрядчик3,69,Подразделение2,2023-01-01,11.8
Подрядчик3,71,Подразделение2,2023-01-01,11.0
Подрядчик3,72,Подразделение2,2023-01-01,11.0
Подрядчик3,74,Подразделение2,2023-01-01,9.5
Подрядчик3,75,Подразделение2,2023-01-01,9.2
Подрядчик3,78,Подразделение2,2023-01-01,11.3
Подрядчик3,79,Подразделение2,2023-01-01,11.0
